artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
jason mraz,i'm yours,1EzrEOXmMH3G43AXT1y7pA,https://open.spotify.com/artist/4phGZZrJZRo4ElhRtViYdl,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,acoustic,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,242947
chord overstreet,hold on,5vjLSffimiIP26QG5WcN2K,https://open.spotify.com/artist/5D3muNJhYYunbRkh3FKgX0,https://open.spotify.com/track/5vjLSffimiIP26QG5WcN2K,acoustic,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,198853
the paper kites,bloom - bonus track,1HMQmOWrkieKYWlFsjUP3D,https://open.spotify.com/artist/79hrYiudVcFyyxyJW0ipTy,https://open.spotify.com/track/1HMQmOWrkieKYWlFsjUP3D,acoustic,0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003,210080
sara bareilles,love song,4E6cwWJWZw2zWf7VFbH7wf,https://open.spotify.com/artist/2Sqr0DXoaYABbjBo9HaMkM,https://open.spotify.com/track/4E6cwWJWZw2zWf7VFbH7wf,acoustic,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,258827
the paper kites,paint,6uHvbKL0Yi37AuvNRmUfMw,https://open.spotify.com/artist/79hrYiudVcFyyxyJW0ipTy,https://open.spotify.com/track/6uHvbKL0Yi37AuvNRmUfMw,acoustic,0.364,0.308,4,-13.052,1,0.0402,0.895,0.0023,0.123,0.387,73.328,191773
violent femmes,blister in the sun,7jIAttgQTpLDoNtykIQXjH,https://open.spotify.com/artist/0rpMdBzQXf7aYRnu5fDBJy,https://open.spotify.com/track/7jIAttgQTpLDoNtykIQXjH,acoustic,0.726,0.537,0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889,145707
matt nathanson,come on get higher,38YgZVHPWOWsKrsCXz6JyP,https://open.spotify.com/artist/4NGiEU3Pkd8ASRyQR30jcA,https://open.spotify.com/track/38YgZVHPWOWsKrsCXz6JyP,acoustic,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,215173
jason mraz,i won't give up,53QF56cjZA9RTuuMZDrSA6,https://open.spotify.com/artist/4phGZZrJZRo4ElhRtViYdl,https://open.spotify.com/track/53QF56cjZA9RTuuMZDrSA6,acoustic,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,240166
jason mraz,lucky,0IktbUcnAGrvD03AWnz3Q8,https://open.spotify.com/artist/4phGZZrJZRo4ElhRtViYdl,https://open.spotify.com/track/0IktbUcnAGrvD03AWnz3Q8,acoustic,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,189613
ray lamontagne,you are the best thing,1jyddn36UN4tVsJGtaJfem,https://open.spotify.com/artist/6DoH7ywD5BcQvjloe9OcIj,https://open.spotify.com/track/1jyddn36UN4tVsJGtaJfem,acoustic,0.578,0.727,10,-4.872,1,0.0332,0.0304,1.99e-05,0.172,0.885,170.593,231840
sara bareilles,brave,6Uy6K3KdmUdAfelUp0SeXn,https://open.spotify.com/artist/2Sqr0DXoaYABbjBo9HaMkM,https://open.spotify.com/track/6Uy6K3KdmUdAfelUp0SeXn,acoustic,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,220573
ben rector,brand new,07m8PuXxxv5J4qPEDq6ZkK,https://open.spotify.com/artist/4AapPt7H6bGH4i7chTulpI,https://open.spotify.com/track/07m8PuXxxv5J4qPEDq6ZkK,acoustic,0.555,0.934,9,-5.04,1,0.113,0.00268,0.0,0.122,0.422,144.874,243933
