artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
miley cyrus,flowers,0yLdNVWF3Srea0uzk55zFn,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn,Pop,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455
sza,kill bill,1Qrg8KqiBpW07V7PNxwwwL,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,Pop,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947
taylor swift,anti-hero,0V3wPSX9ygBnCm8psDIegu,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,Pop,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690
drake,search & rescue,7aRCf5cLOFN1U7kvtChY1G,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G,Pop,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113
fifty fifty,cupid - twin ver.,7FbrGaHYVDmfr7KoLIZnQ7,https://open.spotify.com/artist/4GJ6xDCF5jaUqD6avOuQT6,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,Pop,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253
rema,calm down (with selena gomez),0WtM2NBVQNNJLh6scP13H8,https://open.spotify.com/artist/46pWGuE3dSwY3bMMXGBvVS,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,Pop,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,239318
d4vd,romantic homicide,1xK59OXxi2TAAAbmZK0kBL,https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL,Pop,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,132631
sza,snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2,Pop,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800
zach bryan,something in the orange,3WMj8moIAXJhHsyLaqIIHI,https://open.spotify.com/artist/40ZNYROS4zLfyyBSs2PGe2,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI,Pop,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013
taylor swift,cruel summer,1BxfuPKGuaTgP7aM0Bbdwr,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,Pop,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427
drake,rich flex,1bDbXMyjaUIooNwFE9wn0N,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N,Pop,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360
d4vd,here with me,78Sw5GDo6AlGwTwanjXbGh,https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32,https://open.spotify.com/track/78Sw5GDo6AlGwTwanjXbGh,Pop,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,242485
bailey zimmerman,rock and a hard place,4686eQ81DEswHa90bcdlC9,https://open.spotify.com/artist/3win9vGIxFfBRag9S63wwf,https://open.spotify.com/track/4686eQ81DEswHa90bcdlC9,Pop,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,207541
the weeknd,die for you - remix,7oDd86yk8itslrA9HRP2ki,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki,Pop,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,232857
taylor swift,all of the girls you loved before,4P9Q0GojKVXpRTJCaL3kyy,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy,Pop,0.718,0.467,2,-9.66,1,0.0398,0.707,6.92e-05,0.126,0.396,95.96,221407
labrinth,never felt so alone,2NbsBSshscKIPRG3kwBbfo,https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7,https://open.spotify.com/track/2NbsBSshscKIPRG3kwBbfo,Pop,0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,160166
taylor swift,lavender haze,5jQI2r1RdgtuT8S3iG8zFC,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC,Pop,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,202396
lizzy mcalpine,ceilings,2L9N0zZnd37dwF0clgxMGI,https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI,Pop,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,182888
taylor swift,don’t blame me,1R0a2iXumgCiFb7HEZ7gUE,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE,Pop,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413
onerepublic,i ain't worried,4h9wh7iOZ0GGn8QVp4RAOB,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,Pop,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486
