artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
drake,search & rescue,7aRCf5cLOFN1U7kvtChY1G,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G,Hip-Hop,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113
"tyler, the creator",see you again (feat. kali uchis),7KA4W4McWYRpgf0fWsJZWB,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,Hip-Hop,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387
metro boomin,creepin' (with the weeknd & 21 savage),2dHHgzDwk4BJdRwy9uXhTO,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,Hip-Hop,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520
j. cole,no role modelz,68Dni7IE4VyPkTOH9mRWHr,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,Hip-Hop,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799
drake,rich flex,1bDbXMyjaUIooNwFE9wn0N,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N,Hip-Hop,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360
metro boomin,superhero (heroes & villains) [with future & chris brown],0vjeOZ3Ft5jvAi9SBFJm1j,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j,Hip-Hop,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667
nle choppa,slut me out,5BmB3OaQyYXCqRyN8iR2Yi,https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ,https://open.spotify.com/track/5BmB3OaQyYXCqRyN8iR2Yi,Hip-Hop,0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,123673
metro boomin,trance (with travis scott & young thug),5wG3HvLhF6Y5KTGlK0IW3J,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp,https://open.spotify.com/track/5wG3HvLhF6Y5KTGlK0IW3J,Hip-Hop,0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,194787
drake,jimmy cooks (feat. 21 savage),3F5CgOj3wFlRv51JsHbxhe,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,Hip-Hop,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365
21 savage,glock in my lap,6pcywuOeGGWeOQzdUyti6k,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k,Hip-Hop,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591
toosii,favorite song,1SRw5p2lVAi7RGlHEmZg66,https://open.spotify.com/artist/6BH1xcDkwbbyrLMUKECsW1,https://open.spotify.com/track/1SRw5p2lVAi7RGlHEmZg66,Hip-Hop,0.816,0.367,2,-9.354,1,0.0588,0.314,0.0,0.0987,0.413,116.035,208630
kendrick lamar,money trees,2HbKqm4o0w5wEeEFXm2sD4,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,Hip-Hop,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907
future,wait for u (feat. drake & tems),59nOXPmaKlBfGMDeOVGrIK,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,Hip-Hop,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893
j. cole,wet dreamz,4tqcoej1zPvwePZCzuAjJd,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,https://open.spotify.com/track/4tqcoej1zPvwePZCzuAjJd,Hip-Hop,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267
drake,spin bout u,2ZL7WZcjuYKi1KUDtp4kCC,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/2ZL7WZcjuYKi1KUDtp4kCC,Hip-Hop,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589
frank ocean,pink + white,3xKsf9qdS1CyvXSMEid6g8,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8,Hip-Hop,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,184516
kanye west,heartless,4EWCNWgDS8707fNSZ1oaA5,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,Hip-Hop,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,211000
"tyler, the creator",sorry not sorry,410ZZP746AQeiywhKvXWCo,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,https://open.spotify.com/track/410ZZP746AQeiywhKvXWCo,Hip-Hop,0.481,0.797,6,-4.094,0,0.201,0.404,0.0,0.368,0.495,96.237,206050
kendrick lamar,pride.,6IZvVAP7VPPnsGX6bvgkqg,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg,Hip-Hop,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253
lil baby,freestyle,5BbdKBZO0TH0GhfxUfyhL9,https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK,https://open.spotify.com/track/5BbdKBZO0TH0GhfxUfyhL9,Hip-Hop,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,162053
drake,knife talk (with 21 savage ft. project pat),2BcMwX1MPV6ZHP4tUT9uq6,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6,Hip-Hop,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966
lil baby,low down,5m0yZ33oOy0yYBtdTXuxQe,https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK,https://open.spotify.com/track/5m0yZ33oOy0yYBtdTXuxQe,Hip-Hop,0.962,0.619,10,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.958,144652
j. cole,middle child,2JvzF1RMd7lE3KmFlsyZD8,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,Hip-Hop,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594
metro boomin,too many nights (feat. don toliver & with future),2Hh3ETdQKrmSI3QS0hme7g,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp,https://open.spotify.com/track/2Hh3ETdQKrmSI3QS0hme7g,Hip-Hop,0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920
kendrick lamar,love. feat. zacari.,6PGoSes0D9eUDeeAafB2As,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,Hip-Hop,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,213400
childish gambino,redbone,0WtDGnWL2KrMCk0mI1Gpwz,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL,https://open.spotify.com/track/0WtDGnWL2KrMCk0mI1Gpwz,Hip-Hop,0.745,0.353,1,-10.614,1,0.0983,0.174,0.00662,0.118,0.598,160.111,326933
21 savage,runnin,5SWnsxjhdcEDc7LJjq9UHk,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk,Hip-Hop,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906
tory lanez,the color violet,3azJifCSqg9fRij2yKIbWz,https://open.spotify.com/artist/2jku7tDXc6XoB6MO2hFuqg,https://open.spotify.com/track/3azJifCSqg9fRij2yKIbWz,Hip-Hop,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467
childish gambino,me and your mama,4AFsRbaLKRWo3dDtjDFA2V,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL,https://open.spotify.com/track/4AFsRbaLKRWo3dDtjDFA2V,Hip-Hop,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,379227
kendrick lamar,humble.,7KXjTSCq5nL1LoYtL7XAwS,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,Hip-Hop,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000
kanye west,flashing lights,5TRPicyLGbAF2LGBFbHGvO,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,https://open.spotify.com/track/5TRPicyLGbAF2LGBFbHGvO,Hip-Hop,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,237507
j. cole,work out,2wAJTrFhCnQyNSD3oUgTZO,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO,Hip-Hop,0.831,0.427,2,-6.903,1,0.106,0.0531,0.0,0.307,0.216,93.004,235320
drake,wants and needs (feat. lil baby),65OVbaJR5O1RmwOQx0875b,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b,Hip-Hop,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956
21 savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,https://open.spotify.com/track/50a8bKqlwDEqeiEknrzkTO,Hip-Hop,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,195047
kanye west,bound 2,3sNVsP50132BTNlImLx70i,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i,Hip-Hop,0.367,0.665,1,-2.821,1,0.0465,0.145,0.0,0.113,0.31,148.913,229147
drake,passionfruit,5mCPDVBb16L4XQwDdbRUpz,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,Hip-Hop,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941
"tyler, the creator",new magic wand,0fv2KH6hac06J86hBUTcSf,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf,Hip-Hop,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,195320
bryson tiller,don't,3pXF1nA74528Edde4of9CC,https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,Hip-Hop,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,198293
